DATA;PRECO;ATIVO
20/08/2019;1.843,05;A
19/08/2019;1.843,05;A
15/08/2019;1.843,05;A
14/08/2019;1.842,25;A
13/08/2019;1.855,64;A
12/08/2019;1.851,12;A
09/08/2019;1.856,19;A
08/08/2019;1.856,49;A
07/08/2019;1.846,20;A
06/08/2019;1.845,46;A
05/08/2019;1.839,30;A
02/08/2019;1.853,70;A
01/08/2019;1.856,45;A
31/07/2019;1.860,10;A
30/07/2019;1.866,11;A
29/07/2019;1.868,56;A
26/07/2019;1.868,42;A
25/07/2019;1.865,51;A
24/07/2019;1.866,99;A
23/07/2019;1.866,20;A
22/07/2019;1.868,24;A
19/07/2019;1.865,80;A
18/07/2019;1.868,27;A
17/07/2019;1.870,46;A
16/07/2019;1.870,41;A
15/07/2019;1.869,66;A
12/07/2019;1.869,91;A
11/07/2019;1.871,84;A
10/07/2019;1.872,94;A
09/07/2019;1.866,83;A
08/07/2019;1.866,57;A
05/07/2019;1.866,89;A
04/07/2019;1.864,61;A
03/07/2019;1.860,63;A
02/07/2019;1.859,91;A
01/07/2019;1.861,02;A
28/06/2019;1.855,37;A
27/06/2019;1.855,33;A
26/06/2019;1.853,77;A
25/06/2019;1.851,66;A
24/06/2019;1.853,52;A
21/06/2019;1.854,17;A
20/06/2019;1.851,85;A
20/08/2019;112,5;B
19/08/2019;112,5;B
15/08/2019;112,5;B
14/08/2019;112,85;B
13/08/2019;112,87;B
12/08/2019;113,25;B
09/08/2019;114,41;B
08/08/2019;114,11;B
07/08/2019;113,7;B
06/08/2019;113,03;B
05/08/2019;112,45;B
02/08/2019;113,33;B
01/08/2019;113,45;B
31/07/2019;113,27;B
30/07/2019;113,33;B
29/07/2019;113,39;B
26/07/2019;113,57;B
25/07/2019;113,65;B
24/07/2019;113,62;B
23/07/2019;113,42;B
22/07/2019;113,19;B
19/07/2019;112,9;B
18/07/2019;112,59;B
17/07/2019;112,85;B
16/07/2019;112,74;B
15/07/2019;112,7;B
12/07/2019;112,28;B
11/07/2019;112,56;B
10/07/2019;112,58;B
09/07/2019;112,88;B
08/07/2019;113,25;B
05/07/2019;113,29;B
04/07/2019;114,06;B
03/07/2019;113,68;B
02/07/2019;113,36;B
01/07/2019;113,4;B
28/06/2019;112,76;B
27/06/2019;112,43;B
26/06/2019;112,21;B
25/06/2019;112,39;B
24/06/2019;112,41;B
21/06/2019;112,5;B
20/06/2019;113,12;B
